sku,month_number,seasonal_factor,status,trained_before
0000352,1,1.0,insufficient_history,2026-09-01
0000352,2,1.0,insufficient_history,2026-09-01
0000352,3,1.0,insufficient_history,2026-09-01
0000352,4,1.0,insufficient_history,2026-09-01
0000352,5,1.0,insufficient_history,2026-09-01
0000352,6,1.0,insufficient_history,2026-09-01
0000352,7,1.0,insufficient_history,2026-09-01
0000352,8,1.0,insufficient_history,2026-09-01
0000352,9,1.0,insufficient_history,2026-09-01
0000352,10,1.0,insufficient_history,2026-09-01
0000352,11,1.0,insufficient_history,2026-09-01
0000352,12,1.0,insufficient_history,2026-09-01
010300001_,1,1.3817052893566037,estimated_from_past,2026-09-01
010300001_,2,0.6705574430810965,estimated_from_past,2026-09-01
010300001_,3,0.7655933896014945,estimated_from_past,2026-09-01
010300001_,4,0.865438853059758,estimated_from_past,2026-09-01
010300001_,5,1.551625813059665,estimated_from_past,2026-09-01
010300001_,6,0.6592366286908516,estimated_from_past,2026-09-01
010300001_,7,0.7354063036039604,estimated_from_past,2026-09-01
010300001_,8,0.7601276499134707,estimated_from_past,2026-09-01
010300001_,9,0.7739821649075774,estimated_from_past,2026-09-01
010300001_,10,2.274869739111513,estimated_from_past,2026-09-01
010300001_,11,0.7323713513573219,estimated_from_past,2026-09-01
010300001_,12,0.8290853742566878,estimated_from_past,2026-09-01
010300002_,1,0.6021433035729585,estimated_from_past,2026-09-01
010300002_,2,0.8696648450137534,estimated_from_past,2026-09-01
010300002_,3,1.5767476291760951,estimated_from_past,2026-09-01
010300002_,4,0.5761086471899522,estimated_from_past,2026-09-01
010300002_,5,1.1822245620594505,estimated_from_past,2026-09-01
010300002_,6,0.5665074595838349,estimated_from_past,2026-09-01
010300002_,7,1.3387366264483003,estimated_from_past,2026-09-01
010300002_,8,0.6010847136427371,estimated_from_past,2026-09-01
010300002_,9,0.9932576696112337,estimated_from_past,2026-09-01
010300002_,10,1.1990183702263477,estimated_from_past,2026-09-01
010300002_,11,1.2772705104882085,estimated_from_past,2026-09-01
010300002_,12,1.2172356629871273,estimated_from_past,2026-09-01
010300003_,1,1.1449220413244314,estimated_from_past,2026-09-01
010300003_,2,0.693532766066446,estimated_from_past,2026-09-01
010300003_,3,0.7498455725957586,estimated_from_past,2026-09-01
010300003_,4,0.6695476369230309,estimated_from_past,2026-09-01
010300003_,5,0.5260523988135893,estimated_from_past,2026-09-01
010300003_,6,1.1962252536997586,estimated_from_past,2026-09-01
010300003_,7,1.2521375560662,estimated_from_past,2026-09-01
010300003_,8,1.2594260175206737,estimated_from_past,2026-09-01
010300003_,9,0.895674053641734,estimated_from_past,2026-09-01
010300003_,10,1.0308587351771545,estimated_from_past,2026-09-01
010300003_,11,1.1095274266457351,estimated_from_past,2026-09-01
010300003_,12,1.4722505415254896,estimated_from_past,2026-09-01
010300004_,1,0.8145660119043415,estimated_from_past,2026-09-01
010300004_,2,0.538594855178388,estimated_from_past,2026-09-01
010300004_,3,0.8093031941049618,estimated_from_past,2026-09-01
010300004_,4,1.0458838635277834,estimated_from_past,2026-09-01
010300004_,5,0.6632788628246629,estimated_from_past,2026-09-01
010300004_,6,0.6392613645050977,estimated_from_past,2026-09-01
010300004_,7,2.0795404769667,estimated_from_past,2026-09-01
010300004_,8,0.8808597445494294,estimated_from_past,2026-09-01
010300004_,9,0.7803635497206612,estimated_from_past,2026-09-01
010300004_,10,1.3394119876480297,estimated_from_past,2026-09-01
010300004_,11,0.8414193411056107,estimated_from_past,2026-09-01
