sku,unit,warehouse,day,document_number,order_qty,prior_orders,prior_window_days,historical_median,threshold_iqr,threshold_8median,reason,excluded_qty,exclusion_status,month,comparable,matches_signed,sales_qty_raw,monthly_matches_signed,review_reason
010300001_,шт,Алматы,2025-05-26,20000052966,53.0,8,180,6.5,33.25,52.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,True,72.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300001_,шт,Алматы,2025-10-29,20000119156,65.0,10,180,3.5,34.0,28.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,False,89.0,False,monthly_and_transactions_not_reconciled
010300002_,шт,Алматы,2025-02-27,20000019111,120.0,18,180,8.5,47.25,68.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-02-01,True,False,245.0,False,monthly_and_transactions_not_reconciled
010300002_,шт,Алматы,2025-03-06,20000022679,150.0,22,180,8.5,57.25,68.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,True,499.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2025-03-20,20000027752,110.0,27,180,10.0,53.0,80.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,True,499.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2025-03-26,20000028383,159.0,29,180,10.0,57.0,80.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-03-01,True,True,499.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2025-05-15,20000047960,95.0,41,180,10.0,57.0,80.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,331.0,False,monthly_and_transactions_not_reconciled
010300002_,шт,Алматы,2025-05-21,20000050568,252.0,43,180,10.0,62.5,80.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,331.0,False,monthly_and_transactions_not_reconciled
010300002_,шт,Алматы,2025-05-21,20000050723,213.0,43,180,10.0,62.5,80.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-05-01,True,False,331.0,False,monthly_and_transactions_not_reconciled
010300002_,шт,Алматы,2025-08-01,20000081955,160.0,60,180,10.0,88.0,80.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,True,309.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2025-09-13,20000099746,139.0,62,180,8.0,90.0,64.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,True,204.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2025-10-16,20000115340,378.0,64,180,6.5,78.0,52.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,True,527.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2025-10-21,20000117199,105.0,64,180,6.5,90.0,52.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,True,527.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2026-02-13,20000015951,65.0,54,180,4.5,54.0,36.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-02-01,True,True,194.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2026-03-07,20000024445,338.0,52,180,6.0,78.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-03-01,True,True,549.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2026-07-02,20000072278,108.0,44,180,5.5,57.0,44.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,375.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300002_,шт,Алматы,2026-07-15,20000077488,252.0,47,180,6.0,60.0,48.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2026-07-01,True,True,375.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300003_,шт,Алматы,2025-01-20,20000005434,117.0,8,180,6.5,40.75,52.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-01-01,True,False,237.0,False,monthly_and_transactions_not_reconciled
010300003_,шт,Алматы,2025-04-01,20000030268,66.0,30,180,5.0,51.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-04-01,True,False,125.0,False,monthly_and_transactions_not_reconciled
010300003_,шт,Алматы,2025-08-20,20000089986,50.0,54,180,3.5,29.0,28.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-08-01,True,True,153.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300003_,шт,Алматы,2025-09-10,20000099133,54.0,58,180,3.0,27.0,24.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-09-01,True,True,74.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300003_,шт,Алматы,2025-10-09,20000112017,140.0,54,180,4.0,36.0,32.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-10-01,True,True,195.0,True,quantity_matches_but_scope_customer_and_exception_not_confirmed
010300003_,шт,Алматы,2025-11-27,20000134320,40.0,63,180,5.0,37.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-11-01,True,False,153.0,False,monthly_and_transactions_not_reconciled
010300003_,шт,Алматы,2025-12-05,20000138120,40.0,65,180,5.0,37.0,40.0,above_Q3_plus_3IQR_and_at_least_8_medians,0.0,review_only,2025-12-01,True,False,80.0,False,monthly_and_transactions_not_reconciled
