sku,supplier_sku,min_order_qty,moq_known
081100704_,LLF-A60-7-230-40-E27-CL,10.0,True
081100705_,LLF-A60-7-230-65-E27-CL,10.0,True
081100707_,LLF-A60-9-230-40-E27-CL,10.0,True
081100708_,LLF-A60-9-230-65-E27-CL,10.0,True
081100641_,LLF-A60-11-230-40-E27-CL,10.0,True
151300040_,LLF-A60-11-230-65-E27-CL,,False
081100709_,LLF-C35-5-230-30-E14-CLG,10.0,True
081100712_,LLF-C35-7-230-30-E14-CLG,10.0,True
081100710_,LLF-C35-5-230-40-E14-CL,10.0,True
081100711_,LLF-C35-5-230-40-E27-CL,10.0,True
081100713_,LLF-C35-7-230-30-E27-CL,10.0,True
151300041_,LLF-C35-7-230-40-E14-CL,10.0,True
081100714_,LLF-C35-7-230-40-E27-CL,10.0,True
081100715_,LLF-CT35-5-230-30-E14-CL,,False
081100717_,LLF-CT35-5-230-40-E14-CL,10.0,True
081100718_,LLF-CT35-5-230-40-E27-CL,10.0,True
081100719_,LLF-CT35-7-230-30-E14-CL,,False
081100720_,LLF-CT35-7-230-30-E27-CL,10.0,True
081100721_,LLF-CT35-7-230-40-E14-CL,10.0,True
081100722_,LLF-CT35-7-230-40-E27-CL,10.0,True
081100723_,LLF-G95-6-230-30-E27-CLG,1.0,True
081100642_,LLF-G95-8-230-30-E27-CLG,1.0,True
081100724_,LLF-ST64-6-230-30-E27-CLG,,False
081100643_,LLF-ST64-8-230-30-E27-CLG,1.0,True
151000558_,LLVPOD-EPK-58-1H,1.0,True
150101155_,EPA12-04-02-K02,10.0,True
130300287_,LDD10-008-1100-001,1.0,True
151000369_,LDD10-008-1100-002,1.0,True
151000691_,LDD10-009-1100-002,1.0,True
130300288_,LDD10-010-1100-001,1.0,True
151000692_,LDD10-010-1100-002,1.0,True
130200298_,LDD10-013-1100-001,1.0,True
130200299_,LDD11-016-800-001,1.0,True
081100779_,LDD13-017-1100-001,,False
081100771_,LDD10-018B-1100-001,1.0,True
081100772_,LDD11-022-2000-001,1.0,True
130200128_,LDD11-024-1100-001,1.0,True
130200300_,LDD11-026-2000-001,1.0,True
081100778_,LDD12-035-500-001,1.0,True
081100774_,LDD11-201-1200-001,1.0,True
130200302_,LDD11-401-800-001,1.0,True
130300764_,LDD11-301MB-1200-001,1.0,True
130300765_,LDD11-401MB-500-001,1.0,True
130300102_,MTA10-16,1.0,True
130300302_,MTA20-16,1.0,True
130300220_,LFR20-601-2200-003,20.0,True
130300221_,LFR20-602-4400-003,20.0,True
081100780_,LFR20-603-2200-K01,1.0,True
081100781_,LFR20-604-3300-K01,1.0,True
010500001_,MVA20-1-001-C,12.0,True
010500003_,MVA20-1-002-C,12.0,True
010500068_,MVA20-1-003-C,12.0,True
010500044_,MVA20-1-004-C,12.0,True
010500054_,MVA20-1-005-C,12.0,True
010500004_,MVA20-1-006-C,12.0,True
010500005_,MVA20-1-010-C,12.0,True
010500006_,MVA20-1-016-C,12.0,True
010500007_,MVA20-1-020-C,12.0,True
010500008_,MVA20-1-025-C,12.0,True
010500009_,MVA20-1-032-C,12.0,True
010500010_,MVA20-1-040-C,12.0,True
010500011_,MVA20-1-050-C,12.0,True
010500012_,MVA20-1-063-C,12.0,True
010500103_,MVA20-2-006-C,6.0,True
010500018_,MVA20-2-010-C,6.0,True
010500019_,MVA20-2-016-C,6.0,True
010500020_,MVA20-2-020-C,6.0,True
010500021_,MVA20-2-025-C,6.0,True
010500022_,MVA20-2-032-C,6.0,True
010500023_,MVA20-2-040-C,6.0,True
010500024_,MVA20-2-050-C,6.0,True
010500025_,MVA20-2-063-C,6.0,True
010500046_,MVA20-3-002-C,4.0,True
010500053_,MVA20-3-003-C,4.0,True
010500047_,MVA20-3-004-C,4.0,True
010500048_,MVA20-3-006-C,4.0,True
010500032_,MVA20-3-010-C,4.0,True
010500033_,MVA20-3-016-C,4.0,True
010500034_,MVA20-3-020-C,4.0,True
010500035_,MVA20-3-025-C,4.0,True
010500036_,MVA20-3-032-C,4.0,True
010500037_,MVA20-3-040-C,4.0,True
010500038_,MVA20-3-050-C,4.0,True
010500039_,MVA20-3-063-C,4.0,True
010500090_,MVA20-4-016-C,3.0,True
010500091_,MVA20-4-020-C,3.0,True
010500092_,MVA20-4-025-C,3.0,True
010500093_,MVA20-4-032-C,3.0,True
010500094_,MVA20-4-040-C,3.0,True
010500063_,MVA20-4-050-C,3.0,True
010500095_,MVA20-4-063-C,3.0,True
010700029_,MVA40-3-025-C,4.0,True
010700030_,MVA40-3-032-C,4.0,True
010700031_,MVA40-3-040-C,4.0,True
010700032_,MVA40-3-050-C,4.0,True
010700001_,MVA40-3-063-C,4.0,True
010700003_,MVA40-3-080-C,4.0,True
010700002_,MVA40-3-100-C,4.0,True
010700103_,MVA50-3-100-C,1.0,True
010700102_,MVA50-3-125-C,1.0,True
010800009_,SVA10-3-0016,1.0,True
010800018_,SVA10-3-0025,1.0,True
010800010_,SVA10-3-0032,1.0,True
010800011_,SVA10-3-0040,1.0,True
010800015_,SVA10-3-0050,1.0,True
010800016_,SVA10-3-0063,1.0,True
010800017_,SVA10-3-0080,1.0,True
010800001_,SVA10-3-0100,1.0,True
010800002_,SVA10-3-0125,1.0,True
010800033_,SVA20-3-0080,1.0,True
010800027_,SVA20-3-0100,1.0,True
010800028_,SVA20-3-0125,1.0,True
010800003_,SVA20-3-0160,1.0,True
010800034_,SVA30-3-0125,1.0,True
010800035_,SVA30-3-0160,1.0,True
010800012_,SVA30-3-0200,1.0,True
010800004_,SVA30-3-0250,1.0,True
010800055_,SVA40-3-0250,1.0,True
010800029_,SVA40-3-0315,1.0,True
010800005_,SVA40-3-0400,1.0,True
010800030_,SVA50-3-0500,1.0,True
010800006_,SVA50-3-0630,1.0,True
010800031_,SVA50-3-0800,1.0,True
010800044_,SVA61-3-1000,1.0,True
010800045_,SVA61-3-1250,1.0,True
010800046_,SVA61-3-1600,1.0,True
010700055_,SVA4410-3-0080,1.0,True
010800139_,SVA4410-3-0250,1.0,True
010300094_,MAD22-5-006-C-30,1.0,True
010300074_,MAD22-5-010-C-30,1.0,True
010300075_,MAD22-5-016-C-30,1.0,True
010300095_,MAD22-5-020-C-30,1.0,True
010300053_,MAD22-5-025-C-30,1.0,True
010300121_,MAD22-5-032-C-30,1.0,True
010300096_,MAD22-5-040-C-30,1.0,True
010300001_,MAD10-2-010-C-030,1.0,True
010300002_,MAD10-2-016-C-030,1.0,True
010300123_,MAD10-2-020-C-030,1.0,True
010300003_,MAD10-2-025-C-030,1.0,True
010300004_,MAD10-2-032-C-030,1.0,True
010300005_,MAD10-2-040-C-030,1.0,True
010300006_,MAD10-2-050-C-030,1.0,True
010300007_,MAD10-2-063-C-030,1.0,True
010300124_,MAD10-4-010-C-030,3.0,True
010300008_,MAD10-4-016-C-030,1.0,True
010300009_,MAD10-4-025-C-030,1.0,True
010300010_,MAD10-4-032-C-030,1.0,True
010300011_,MAD10-4-040-C-030,1.0,True
010300012_,MAD10-4-050-C-030,3.0,True
010300013_,MAD10-4-063-C-030,1.0,True
010300068_,MAD12-2-025-C-030,1.0,True
010300069_,MAD12-2-032-C-030,1.0,True
010300014_,MDV10-2-016-030,1.0,True
010300015_,MDV10-2-025-030,1.0,True
010300016_,MDV10-2-032-030,1.0,True
010300017_,MDV10-2-040-030,1.0,True
010300018_,MDV10-2-050-030,1.0,True
010300057_,MDV10-2-063-030,1.0,True
010300052_,MDV10-4-016-030,1.0,True
010300019_,MDV10-4-025-030,1.0,True
010300020_,MDV10-4-032-030,1.0,True
010300023_,MDV10-4-040-030,1.0,True
010300024_,MDV10-4-050-030,1.0,True
010300021_,MDV10-4-063-030,1.0,True
010700168_,AR-B06S-1N-C10C030,12.0,True
010700169_,AR-B06S-1N-C16C030,12.0,True
010700170_,AR-B06S-1N-C20C030,12.0,True
010700171_,AR-B06S-1N-C25C030,12.0,True
010700172_,AR-B06S-1N-C32C030,1.0,True
010700167_,AR-B06S-1N-C06C030,12.0,True
010700161_,AR-R10N-2-025C030,1.0,True
010700162_,AR-R10N-2-040C030,6.0,True
010700163_,AR-R10N-2-063C030,6.0,True
010700164_,AR-R10N-4-025C030,3.0,True
010700165_,AR-R10N-4-040C030,3.0,True
010700166_,AR-R10N-4-063A030,3.0,True
010700134_,AR-M06N-1-C010,1.0,True
010700135_,AR-M06N-1-C016,1.0,True
010700136_,AR-M06N-1-C020,1.0,True
010700137_,AR-M06N-1-C025,1.0,True
010700138_,AR-M06N-1-C032,1.0,True
010700139_,AR-M06N-1-C040,1.0,True
010700140_,AR-M06N-1-C050,1.0,True
010700141_,AR-M06N-1-C063,1.0,True
010700133_,AR-M06N-1-C006,1.0,True
010700143_,AR-M06N-2-C010,1.0,True
010700144_,AR-M06N-2-C016,1.0,True
010700145_,AR-M06N-2-C020,1.0,True
010700146_,AR-M06N-2-C025,1.0,True
010700147_,AR-M06N-2-C032,1.0,True
010700148_,AR-M06N-2-C040,1.0,True
010700149_,AR-M06N-2-C050,1.0,True
010700150_,AR-M06N-2-C063,1.0,True
010700142_,AR-M06N-2-C006,1.0,True
010700152_,AR-M06N-3-C010,1.0,True
010700153_,AR-M06N-3-C016,1.0,True
010700154_,AR-M06N-3-C020,1.0,True
010700155_,AR-M06N-3-C025,1.0,True
010700156_,AR-M06N-3-C032,1.0,True
010700158_,AR-M06N-3-C040,1.0,True
010700159_,AR-M06N-3-C050,1.0,True
010700160_,AR-M06N-3-C063,1.0,True
010700151_,AR-M06N-3-C006,1.0,True
AR-M06N-4-C025,AR-M06N-4-C025,1.0,True
010500111_,MNV10-3-020,4.0,True
010500102_,MNV10-3-032,4.0,True
010500041_,MNV10-3-040,4.0,True
010500042_,MNV10-3-063,4.0,True
010500040_,MNV10-3-100,4.0,True
130500098_,MOP20-1-B,1.0,True
130500137_,MOP20-1-D,10.0,True
200400050_,KMM11-006-230-10,1.0,True
120100001_,KKM11-009-230-10,5.0,True
120100032_,KKM11-009-400-10,1.0,True
120100002_,KKM11-012-230-10,1.0,True
120100033_,KKM11-012-400-10,1.0,True
120100004_,KKM11-018-230-10,5.0,True
120100034_,KKM11-018-400-10,1.0,True
120100006_,KKM21-025-230-10,1.0,True
120100035_,KKM21-025-400-10,1.0,True
120100030_,KKM21-032-230-10,1.0,True
120100036_,KKM21-032-400-10,1.0,True
120100011_,KKM31-040-230-11,1.0,True
120100037_,KKM31-040-400-11,1.0,True
120100013_,KKM31-050-230-11,1.0,True
120100038_,KKM31-050-400-11,1.0,True
120100118_,KKM41-065-230-11,1.0,True
120100119_,KKM41-065-400-11,1.0,True
120100041_,KKM41-080-230-11,1.0,True
120100042_,KKM41-080-400-11,1.0,True
120100016_,KKM41-095-230-11,1.0,True
120100081_,KKM41-095-400-11,1.0,True
120100055_,KKM16-009-220-00,1.0,True
120100045_,KKM16-009-380-00,1.0,True
120100056_,KKM16-012-220-00,1.0,True
120100003_,KKM16-012-380-00,1.0,True
120100057_,KKM16-018-220-00,1.0,True
120100005_,KKM16-018-380-00,1.0,True
120100058_,KKM26-025-220-00,1.0,True
120100008_,KKM26-025-380-00,1.0,True
120100059_,KKM26-032-220-00,1.0,True
120100010_,KKM26-032-380-00,1.0,True
120100080_,KKM36-040-220-00,1.0,True
120100012_,KKM36-040-380-00,1.0,True
120100060_,KKM36-050-220-00,1.0,True
120100122_,KKM46-065-380-00,1.0,True
120300008_,KKT50-115-230-10,1.0,True
120300023_,KKT50-115-400-10,1.0,True
120100043_,KKT50-150-230-10,1.0,True
120100044_,KKT50-150-400-10,1.0,True
120100085_,KKT50-185-230-10,1.0,True
120100088_,KKT50-185-400-10,1.0,True
120100047_,KKT50-225-230-10,1.0,True
120100046_,KKT50-225-400-10,1.0,True
120100086_,KKT50-265-230-10,1.0,True
120100089_,KKT50-265-400-10,1.0,True
120100087_,KKT60-400-230-10,1.0,True
120100050_,KKT60-400-400-10,1.0,True
120100320_,MKK11-20-11,1.0,True
120100306_,MKK11-20-20,1.0,True
MKK11-20-22,MKK11-20-22,1.0,True
120100307_,MKK11-20-40,1.0,True
120100322_,MKK11-25-22,1.0,True
MKK11-40-11,MKK11-40-11,1.0,True
120100325_,MKK11-40-20,1.0,True
120100308_,MKK21-40-40,1.0,True
MKK11-63-20,MKK11-63-20,1.0,True
120100309_,MKK21-63-40,1.0,True
130300103_,KPK10-11,1.0,True
130300152_,KPK10-22,1.0,True
120100070_,DMS11-010,1.0,True
120100071_,DMS11-014,1.0,True
120100072_,DMS11-018,1.0,True
120100073_,DMS11-025,1.0,True
120100069_,DMS11-D63,1.0,True
080800070_,BLS10-ADDS-230-K05,10.0,True
080800071_,BLS10-ADDS-230-K06,10.0,True
080800072_,BLS10-ADDS-230-K04,10.0,True
080800024_,BLS30-ALTE-K06,10.0,True
130200019_,MIF10-400,24.0,True
130900014_,KVK10-06-3,10.0,True
130900013_,KVK20-10-3,10.0,True
130900001_,KVK30-16-3,10.0,True
130200085_,MBD10-11-K51,12.0,True
130300021_,BBT30-ABLFS-K06,10.0,True
130300022_,BBT30-ABLFS-K04,10.0,True
130900065_,BBG30-AEA-K04,10.0,True
130900017_,BBG60-AEAL-K04,10.0,True
130900031_,BBG20-AELA-K06,10.0,True
130900030_,BBG20-AELA-K04,10.0,True
130900008_,BSW10-ALCLR-3-K02,10.0,True
130900009_,BBG40-ANE-K04,10.0,True
130300154_,BBD11-APBB-K51,10.0,True
130300080_,BBD21-PPBB-K51,10.0,True
130900020_,BBT40-SB7-K06,10.0,True
130900019_,BBT40-SB7-K04,10.0,True
130300101_,BSW10-AKS-2-K02,10.0,True
130900012_,BSW10-ANC-2-K06,10.0,True
130900010_,BSW10-ANC-2-K04,10.0,True
130900006_,BSW10-ANCLR-3-K06,10.0,True
130900007_,BSW10-ANCLR-3-K04,10.0,True
010500124_,BSW60-BD-2-K02,20.0,True
010500122_,BSW60-BD-3-K02,20.0,True
130301133_,BBG90-BS-K04,20.0,True
270300134_,BCS13-025-2,,False
250600030_,BKP10-1-K01,10.0,True
250600013_,BKP10-2-K01,10.0,True
250600014_,BKP10-3-K01,10.0,True
250600015_,BKP10-4-K01,10.0,True
130300204_,BPU10-2,5.0,True
130300004_,BPU10-4,5.0,True
130300003_,BPU10-6,5.0,True
080800062_,MLS10-230-K05,12.0,True
080800030_,MLS10-230-K06,12.0,True
080800031_,MLS10-230-K04,12.0,True
130600078_,DRT10-D004-C063,1.0,True
130600079_,DRT10-C063-0001,1.0,True
130600080_,DRT10-0001-D016,1.0,True
130600031_,DRT10-D016-D025,1.0,True
130600052_,DRT10-D025-0004,1.0,True
130600032_,DRT10-0004-0006,1.0,True
130600086_,DRT10-D055-0008,1.0,True
130600021_,DRT10-0007-0010,1.0,True
130600022_,DRT10-0009-0013,1.0,True
130600053_,DRT10-0012-0018,1.0,True
130600023_,DRT10-0017-0025,1.0,True
130600024_,DRT20-0028-0036,1.0,True
130600066_,DRT30-0023-0032,1.0,True
130600025_,DRT30-0030-0040,1.0,True
130600051_,DRT30-0037-0050,1.0,True
130600067_,DRT30-0055-0070,1.0,True
130600064_,DRT30-0063-0080,1.0,True
130300020_,MVA01D-RN,12.0,True
270300112_,ITT10-2-05-0050,1.0,True
270300098_,ITT10-2-05-0075,1.0,True
270300099_,ITT10-2-05-0100,1.0,True
270300101_,ITT10-2-05-0200,1.0,True
270300132_,ITT10-2-05-0250,1.0,True
270300021_,ITT30-2-05-0300,1.0,True
270300025_,ITT30-2-05-0400,1.0,True
270300234_,ITT30-2-05-0500,1.0,True
270300035_,ITT30-2-05-0600,,False
270300217_,ITT60-2-15-1000,,False
270300100_,ITT10-2-05-0150,1.0,True
270100211_,PE-31120-0250,1.0,True
270100212_,PE-31120-0400,1.0,True
270100217_,PE-31140-0400,1.0,True
270100213_,PE-31120-0630,1.0,True
270100218_,PE-31140-0630,1.0,True
270100221_,PE-31160-0630,1.0,True
270100214_,PE-31120-1000,1.0,True
270100219_,PE-31140-1000,1.0,True
270100215_,PE-31120-1600,1.0,True
270100223_,PE-31160-1600,1.0,True
270400035_,MPR10-2-063,6.0,True
270300001_,MTT12-012-0250,1.0,True
270300002_,MTT12-024-0250,1.0,True
270300003_,MTT12-036-0250,1.0,True
270300004_,MTT12-042-0250,1.0,True
270300007_,MTT21-036-0250,1.0,True
270300253_,MTT12-012-0251-54,1.0,True
270300251_,MTT12-024-0251-54,1.0,True
270300254_,MTT12-036-0251-54,1.0,True
130600128_,ORT-M2-ACDC12-240V,1.0,True
130300084_,MZD10-230,12.0,True
130600124_,ORT-2T-ACDC12-240V,1.0,True
130600125_,ORT-M1-AC230V,1.0,True
130600211_,ORM-1-2C-AC220V-L-B,20.0,True
130600210_,ORM-1-2C-DC24V-L-B,20.0,True
130600209_,ORM-1-4C-DC24V-L-B,20.0,True
130600203_,ORL-01-ACDC24-240V,1.0,True
130600126_,ORT-M1-ACDC12-240V,1.0,True
130600136_,ORF-03-220-460VAC,1.0,True
130600137_,ORF-05-220-460VAC,1.0,True
130600138_,ORF-06-220-460VAC,1.0,True
130600224_,ORF-08D-127-265VAC,1.0,True
130600223_,ORF-08D-220-460VAC,1.0,True
130600098_,RRP10D-RRM-3,10.0,True
130600063_,RRP10D-RRM-4,10.0,True
130600062_,RRP20D-RRM-4,20.0,True
130600217_,OIR-208-AC230V,1.0,True
130600150_,OIR-316-AC230V,1.0,True
130600216_,OIR-316-ACDC24V,1.0,True
130600148_,OIR-308-AC230V,1.0,True
130300555_,RRP10-3-10-220A,20.0,True
130600068_,RRP10-4-10-220A,20.0,True
130600027_,RRP20-3-05-220A,20.0,True
130600061_,RRP20-4-03-220A,20.0,True
200400001_,EVK10-K01-10-DM,10.0,True
200400003_,EVK20-K01-10-DM,10.0,True
200400002_,EVK11-K01-10-DM,10.0,True
200400004_,EVK21-K01-10-DM,10.0,True
280300145_,ERK13-K01-10-DM,10.0,True
200400007_,ERK11-K01-16-DM,10.0,True
200400101_,ERK14-K01-16-DM,10.0,True
280300229_,ERK23-K01-10-DM,9.0,True
280300146_,ERK24-K01-16-DM,8.0,True
200400249_,ERK15-K01-16-DM,8.0,True
200400015_,EAK10-K01-DM,10.0,True
200400011_,ETK10-K01-DM,10.0,True
280300231_,EDK10-K01-03-DM,8.0,True
280300147_,EKK10-K01-DM,10.0,True
200400014_,EIK10-K01-DM,10.0,True
200400016_,EMK20-K01-DM,38.0,True
200400017_,EMK30-K01-DM,25.0,True
200400018_,EMK40-K01-DM,19.0,True
200400019_,EVO10-K01-10-DC,36.0,True
200400021_,EVO20-K01-10-DC,36.0,True
200400020_,EVO11-K01-10-DC,36.0,True
200400022_,EVO21-K01-10-DC,36.0,True
200400023_,ERO10-K01-10-DC,36.0,True
200400024_,ERO11-K01-16-DC,30.0,True
200400025_,ERO20-K01-10-DC,24.0,True
200400026_,ERO21-K01-16-DC,18.0,True
200400029_,EVMP10-K01-10-54-EC,10.0,True
200400030_,EVMP20-K01-10-54-EC,10.0,True
200400027_,ERMP12-K03-16-54-EC,10.0,True
200400028_,ERMP22-K03-16-54-EC,5.0,True
ярп40257,EVA10-K03-10-54,10.0,True
ярп40260,EVA20-K03-10-54,10.0,True
280300644_,EVA14-K03-10-54,10.0,True
280300645_,EVA12-K03-10-54,10.0,True
ярп40255,ERA12-K03-16-54,10.0,True
ярп40256,ERA22-K03-16-54,5.0,True
030201031_,BR-R16-16-44-K47,1.0,True
030200908_,BR-VK10-0-K47,1.0,True
030200777_,BR-V13-0-10-K47,1.0,True
030200407_,BR-V10-0-10-K47,1.0,True
030200412_,BR-V12-0-10-K47,1.0,True
030200867_,BR-V12-1-10-K47,1.0,True
030200408_,BR-V10-1-10-K47,1.0,True
030200409_,BR-V20-0-10-K47,1.0,True
030200419_,BR-V22-0-10-K47,1.0,True
030200410_,BR-V20-1-10-K47,1.0,True
030200740_,BR-V30-0-10-K47,1.0,True
030200974_,BR-V14-0-10-K47,1.0,True
030200946_,BR-V15-0-10-K47,1.0,True
030200965_,BR-MS10-N-150-05-K47,1.0,True
030200889_,BR-PL10-K47,1.0,True
030200955_,BR-FL20-K47,1.0,True
030200415_,BR-M12-K47,1.0,True
030200416_,BR-M22-K47,1.0,True
030200417_,BR-M32-K47,1.0,True
030200418_,BR-M42-K47,1.0,True
030200756_,BR-M52-K47,1.0,True
030200869_,BR-K20-1-K47,1.0,True
030200868_,BR-R26-16-44-K47-F,1.0,True
030200540_,BR-A10-O-K47,1.0,True
030200784_,BR-KT20-O-1-K47,1.0,True
030200529_,BR-AK20-1-K47,1.0,True
030200984_,BR-AF20-O-K47,1.0,True
030200413_,BR-R21-16-K47-F,1.0,True
030200414_,BR-R24-16-K47-F,1.0,True
030200938_,BR-H10-K47,1.0,True
030200746_,BR-A10-P-K47,1.0,True
030200915_,BR-U21-D31-K47,1.0,True
030200765_,BR-U22-018-K47,1.0,True
030200979_,BR-S40-K47,1.0,True
030200527_,BR-R10-10-K47,1.0,True
030200411_,BR-K10-1-K47,1.0,True
030200528_,BR-R11-16-K47,1.0,True
030200969_,BR-R14-16-U21-D21-K47,1.0,True
030200764_,BR-R14-16-U21-D31-K47,1.0,True
030200950_,BR-R14-16-U22-018-K47,1.0,True
030200923_,BR-R16-16-K47,1.0,True
030200406_,BR-R14-16-K47,1.0,True
030200987_,BR-D20-0600-K47,1.0,True
030200960_,BR-RT11-K47,1.0,True
BR-VK10-0-K10,BR-VK10-0-K10,1.0,True
BR-R16-16-K10,BR-R16-16-K10,1.0,True
BR-RT11-K10,BR-RT11-K10,1.0,True
030200828_,BR-V10-0-10-K10,1.0,True
030201018_,BR-V13-0-10-K10,1.0,True
030200833_,BR-V12-0-10-K10,1.0,True
030200829_,BR-V10-1-10-K10,1.0,True
030200830_,BR-V20-0-10-K10,1.0,True
030200840_,BR-V22-0-10-K10,1.0,True
030200831_,BR-V20-1-10-K10,1.0,True
030200841_,BR-V30-0-10-K10,1.0,True
030200846_,BR-V15-0-10-K10,1.0,True
030200836_,BR-M12-K10,1.0,True
030200837_,BR-M22-K10,1.0,True
030200838_,BR-M32-K10,1.0,True
030200839_,BR-M42-K10,1.0,True
030201019_,BR-M52-K10,1.0,True
030201020_,BR-R11-16-K10,1.0,True
030201017_,BR-R16-16-44-K10,1.0,True
030200834_,BR-R21-16-K10-F,1.0,True
030200835_,BR-R24-16-K10-F,1.0,True
030200842_,BR-R26-16-44-K10-F,1.0,True
030200845_,BR-H10-K10,1.0,True
030200844_,BR-A10-O-K10,1.0,True
030200843_,BR-K20-1-K10,1.0,True
030200832_,BR-K10-1-K10,1.0,True
030200827_,BR-R14-16-K10,1.0,True
030200905_,BR-VK10-0-K01,1.0,True
030200456_,BR-V13-0-10-K01,1.0,True
030200514_,BR-V10-0-10-K01,1.0,True
030200448_,BR-V10-0-10-K01-F,1.0,True
030200454_,BR-V12-0-10-K01,1.0,True
030200455_,BR-V12-1-10-K01,1.0,True
030200449_,BR-V10-1-10-K01,1.0,True
030200515_,BR-V20-0-10-K01,1.0,True
030200450_,BR-V20-0-10-K01-F,1.0,True
030200470_,BR-V22-0-10-K01,1.0,True
030200451_,BR-V20-1-10-K01,1.0,True
030200452_,BR-V30-0-10-K01,1.0,True
030200970_,BR-V14-0-10-K01,1.0,True
030200774_,BR-V15-0-10-K01,1.0,True
030200961_,BR-MS10-N-150-05-K01,1.0,True
030200886_,BR-PL10-K01,1.0,True
030200951_,BR-FL20-K01,1.0,True
030200463_,BR-M12-K01,1.0,True
030200468_,BR-M12-44-K01,1.0,True
030200464_,BR-M22-K01,1.0,True
030200469_,BR-M22-44-K01,1.0,True
030200465_,BR-M32-K01,1.0,True
030200466_,BR-M42-K01,1.0,True
