sku,month,sales_qty_raw,sales_status,transactions_signed_qty,transactions_positive_qty,transaction_unknown_qty_rows,comparable,matches_signed,matches_positive,difference_signed
010300001_,2024-01-01,24.0,observed,,,,False,False,False,
010300001_,2024-02-01,3.0,observed,,,,False,False,False,
010300001_,2024-03-01,4.0,observed,,,,False,False,False,
010300001_,2024-04-01,11.0,observed,,,,False,False,False,
010300001_,2024-05-01,4.0,observed,,,,False,False,False,
010300001_,2024-06-01,5.0,observed,,,,False,False,False,
010300001_,2024-07-01,13.0,observed,,,,False,False,False,
010300001_,2024-08-01,14.0,observed,,,,False,False,False,
010300001_,2024-09-01,16.0,observed,,,,False,False,False,
010300001_,2024-10-01,42.0,observed,,,,False,False,False,
010300001_,2024-11-01,4.0,observed,,,,False,False,False,
010300001_,2024-12-01,19.0,observed,,,,False,False,False,
010300001_,2025-01-01,28.0,observed,28.0,28.0,0.0,True,True,True,0.0
010300001_,2025-02-01,,blank,,,,False,False,False,
010300001_,2025-03-01,14.0,observed,14.0,14.0,0.0,True,True,True,0.0
010300001_,2025-04-01,14.0,observed,14.0,14.0,0.0,True,True,True,0.0
010300001_,2025-05-01,72.0,observed,72.0,72.0,0.0,True,True,True,0.0
010300001_,2025-06-01,,blank,,,,False,False,False,
010300001_,2025-07-01,2.0,observed,2.0,2.0,0.0,True,True,True,0.0
010300001_,2025-08-01,3.0,observed,3.0,3.0,0.0,True,True,True,0.0
010300001_,2025-09-01,2.0,observed,2.0,2.0,0.0,True,True,True,0.0
010300001_,2025-10-01,89.0,observed,93.0,93.0,0.0,True,False,False,4.0
010300001_,2025-11-01,14.0,observed,14.0,14.0,0.0,True,True,True,0.0
010300001_,2025-12-01,4.0,observed,,,,False,False,False,
010300001_,2026-01-01,10.0,observed,10.0,10.0,0.0,True,True,True,0.0
010300001_,2026-02-01,10.0,observed,10.0,10.0,0.0,True,True,True,0.0
010300001_,2026-03-01,,blank,,,,False,False,False,
010300001_,2026-04-01,24.0,observed,24.0,24.0,0.0,True,True,True,0.0
010300001_,2026-05-01,,blank,,,,False,False,False,
010300001_,2026-06-01,7.0,observed,7.0,7.0,0.0,True,True,True,0.0
010300001_,2026-07-01,,blank,,,,False,False,False,
010300001_,2026-08-01,,blank,,,,False,False,False,
010300002_,2024-01-01,95.0,observed,,,,False,False,False,
010300002_,2024-02-01,27.0,observed,,,,False,False,False,
010300002_,2024-03-01,78.0,observed,,,,False,False,False,
010300002_,2024-04-01,195.0,observed,,,,False,False,False,
010300002_,2024-05-01,407.0,observed,,,,False,False,False,
010300002_,2024-06-01,40.0,observed,,,,False,False,False,
010300002_,2024-07-01,492.0,observed,,,,False,False,False,
010300002_,2024-08-01,55.0,observed,,,,False,False,False,
010300002_,2024-09-01,311.0,observed,,,,False,False,False,
010300002_,2024-10-01,182.0,observed,,,,False,False,False,
010300002_,2024-11-01,703.0,observed,,,,False,False,False,
010300002_,2024-12-01,442.0,observed,,,,False,False,False,
010300002_,2025-01-01,366.0,observed,364.0,364.0,0.0,True,False,False,-2.0
010300002_,2025-02-01,245.0,observed,221.0,221.0,0.0,True,False,False,-24.0
010300002_,2025-03-01,499.0,observed,499.0,499.0,0.0,True,True,True,0.0
010300002_,2025-04-01,79.0,observed,73.0,73.0,0.0,True,False,False,-6.0
010300002_,2025-05-01,331.0,observed,632.0,632.0,0.0,True,False,False,301.0
010300002_,2025-06-01,214.0,observed,214.0,214.0,0.0,True,True,True,0.0
010300002_,2025-07-01,185.0,observed,185.0,185.0,0.0,True,True,True,0.0
010300002_,2025-08-01,309.0,observed,309.0,309.0,0.0,True,True,True,0.0
010300002_,2025-09-01,204.0,observed,204.0,204.0,0.0,True,True,True,0.0
010300002_,2025-10-01,527.0,observed,527.0,527.0,0.0,True,True,True,0.0
010300002_,2025-11-01,103.0,observed,102.0,102.0,0.0,True,False,False,-1.0
010300002_,2025-12-01,291.0,observed,289.0,289.0,0.0,True,False,False,-2.0
010300002_,2026-01-01,5.0,observed,5.0,5.0,0.0,True,True,True,0.0
010300002_,2026-02-01,194.0,observed,194.0,194.0,0.0,True,True,True,0.0
010300002_,2026-03-01,549.0,observed,549.0,549.0,0.0,True,True,True,0.0
010300002_,2026-04-01,37.0,observed,35.0,35.0,0.0,True,False,False,-2.0
010300002_,2026-05-01,53.0,observed,55.0,55.0,0.0,True,False,False,2.0
010300002_,2026-06-01,71.0,observed,71.0,71.0,0.0,True,True,True,0.0
010300002_,2026-07-01,375.0,observed,375.0,375.0,0.0,True,True,True,0.0
010300002_,2026-08-01,84.0,observed,82.0,82.0,0.0,True,False,False,-2.0
010300003_,2024-01-01,162.0,observed,,,,False,False,False,
010300003_,2024-02-01,55.0,observed,,,,False,False,False,
010300003_,2024-03-01,73.0,observed,,,,False,False,False,
010300003_,2024-04-01,55.0,observed,,,,False,False,False,
010300003_,2024-05-01,148.0,observed,,,,False,False,False,
010300003_,2024-06-01,165.0,observed,,,,False,False,False,
010300003_,2024-07-01,175.0,observed,,,,False,False,False,
010300003_,2024-08-01,250.0,observed,,,,False,False,False,
010300003_,2024-09-01,101.0,observed,,,,False,False,False,
010300003_,2024-10-01,26.0,observed,,,,False,False,False,
010300003_,2024-11-01,109.0,observed,,,,False,False,False,
010300003_,2024-12-01,362.0,observed,,,,False,False,False,
010300003_,2025-01-01,237.0,observed,229.0,229.0,0.0,True,False,False,-8.0
010300003_,2025-02-01,101.0,observed,100.0,100.0,0.0,True,False,False,-1.0
010300003_,2025-03-01,55.0,observed,52.0,52.0,0.0,True,False,False,-3.0
010300003_,2025-04-01,125.0,observed,123.0,123.0,0.0,True,False,False,-2.0
010300003_,2025-05-01,21.0,observed,20.0,20.0,0.0,True,False,False,-1.0
010300003_,2025-06-01,98.0,observed,97.0,97.0,0.0,True,False,False,-1.0
010300003_,2025-07-01,19.0,observed,19.0,19.0,0.0,True,True,True,0.0
010300003_,2025-08-01,153.0,observed,153.0,153.0,0.0,True,True,True,0.0
010300003_,2025-09-01,74.0,observed,74.0,74.0,0.0,True,True,True,0.0
010300003_,2025-10-01,195.0,observed,195.0,195.0,0.0,True,True,True,0.0
010300003_,2025-11-01,153.0,observed,152.0,152.0,0.0,True,False,False,-1.0
010300003_,2025-12-01,80.0,observed,78.0,78.0,0.0,True,False,False,-2.0
010300003_,2026-01-01,55.0,observed,54.0,54.0,0.0,True,False,False,-1.0
010300003_,2026-02-01,47.0,observed,44.0,44.0,0.0,True,False,False,-3.0
010300003_,2026-03-01,199.0,observed,199.0,199.0,0.0,True,True,True,0.0
010300003_,2026-04-01,22.0,observed,21.0,21.0,0.0,True,False,False,-1.0
010300003_,2026-05-01,5.0,observed,5.0,5.0,0.0,True,True,True,0.0
010300003_,2026-06-01,268.0,observed,288.0,288.0,0.0,True,False,False,20.0
010300003_,2026-07-01,151.0,observed,171.0,171.0,0.0,True,False,False,20.0
010300003_,2026-08-01,6.0,observed,31.0,31.0,0.0,True,False,False,25.0
010300004_,2024-01-01,18.0,observed,,,,False,False,False,
010300004_,2024-02-01,7.0,observed,,,,False,False,False,
010300004_,2024-03-01,5.0,observed,,,,False,False,False,
010300004_,2024-04-01,28.0,observed,,,,False,False,False,
010300004_,2024-05-01,37.0,observed,,,,False,False,False,
010300004_,2024-06-01,9.0,observed,,,,False,False,False,
010300004_,2024-07-01,207.0,observed,,,,False,False,False,
010300004_,2024-08-01,1.0,observed,,,,False,False,False,
010300004_,2024-09-01,6.0,observed,,,,False,False,False,
010300004_,2024-10-01,5.0,observed,,,,False,False,False,
010300004_,2024-11-01,15.0,observed,,,,False,False,False,
010300004_,2024-12-01,8.0,observed,,,,False,False,False,
010300004_,2025-01-01,12.0,observed,11.0,11.0,0.0,True,False,False,-1.0
010300004_,2025-02-01,4.0,observed,3.0,3.0,0.0,True,False,False,-1.0
010300004_,2025-03-01,38.0,observed,37.0,37.0,0.0,True,False,False,-1.0
010300004_,2025-04-01,3.0,observed,2.0,2.0,0.0,True,False,False,-1.0
010300004_,2025-05-01,1.0,observed,2.0,2.0,0.0,True,False,False,1.0
010300004_,2025-06-01,61.0,observed,60.0,60.0,0.0,True,False,False,-1.0
010300004_,2025-07-01,61.0,observed,61.0,61.0,0.0,True,True,True,0.0
010300004_,2025-08-01,25.0,observed,25.0,25.0,0.0,True,True,True,0.0
010300004_,2025-09-01,15.0,observed,15.0,15.0,0.0,True,True,True,0.0
010300004_,2025-10-01,63.0,observed,63.0,63.0,0.0,True,True,True,0.0
010300004_,2025-11-01,12.0,observed,11.0,11.0,0.0,True,False,False,-1.0
010300004_,2025-12-01,77.0,observed,77.0,77.0,0.0,True,True,True,0.0
010300004_,2026-01-01,25.0,observed,25.0,25.0,0.0,True,True,True,0.0
010300004_,2026-02-01,1.0,observed,1.0,1.0,0.0,True,True,True,0.0
010300004_,2026-03-01,12.0,observed,12.0,12.0,0.0,True,True,True,0.0
010300004_,2026-04-01,25.0,observed,24.0,24.0,0.0,True,False,False,-1.0
