date,sku,name,category,warehouse,qty,client_id,order_id
2026-08-23,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260823
2026-08-23,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260823
2026-08-24,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260824
2026-08-24,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260824
2026-08-25,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260825
2026-08-25,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260825
2026-08-26,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260826
2026-08-26,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260826
2026-08-27,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260827
2026-08-27,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260827
2026-08-28,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260828
2026-08-28,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260828
2026-08-29,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260829
2026-08-29,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260829
2026-08-30,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260830
2026-08-30,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260830
2026-08-31,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260831
2026-08-31,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260831
2026-09-01,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260901
2026-09-01,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260901
2026-09-02,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260902
2026-09-02,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260902
2026-09-03,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260903
2026-09-03,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260903
2026-09-04,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260904
2026-09-04,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260904
2026-09-05,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260905
2026-09-05,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260905
2026-09-06,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260906
2026-09-06,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260906
2026-09-07,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260907
2026-09-07,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260907
2026-09-08,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260908
2026-09-08,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260908
2026-09-09,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260909
2026-09-09,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260909
2026-09-10,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260910
2026-09-11,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260911
2026-09-12,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260912
2026-09-13,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260913
2026-09-13,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260913
2026-09-14,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260914
2026-09-14,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260914
2026-09-15,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260915
2026-09-15,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260915
2026-09-16,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260916
2026-09-16,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260916
2026-09-17,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260917
2026-09-17,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260917
2026-09-18,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260918
2026-09-18,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260918
2026-09-19,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260919
2026-09-19,00007,Лампа демонстрационная,Освещение,AST-DEMO,3,00002,00007-20260919
2026-09-20,00123_,Кабель демонстрационный,Кабель,ALA-DEMO,10,00001,00123_-20260920
